topology,metric,n,mean,sd,median,q025,q975
BA,t10,100,4.6,0.9211323729436764,4.0,3.0,7.0
BA,t50,100,7.51,0.9586922911398156,7.0,6.0,10.0
BA,peak_infected,100,736.86,17.326350574844785,737.0,702.0,768.525
BA,final_size,100,0.9947499999999998,0.0024756388829528207,0.995,0.99,0.999
BA,active_spreader_auc,100,19927.29,625.356646444671,19883.0,18625.025,21071.85
BA,unique_exposed_fraction,100,0.995,0.0,0.995,0.995,0.995
BA,attempted_exposures,100,7413.55,183.13743666184342,7421.5,7086.775,7720.825
BA,repeat_exposures,100,6418.55,183.13743666184342,6426.5,6091.775,6725.825
ER,t10,100,5.88,0.670895677509559,6.0,5.0,7.0
ER,t50,100,9.83,0.7792122414154677,10.0,9.0,11.0
ER,peak_infected,100,730.1,17.712918301270257,731.0,697.475,761.525
ER,final_size,100,0.99055,0.003456438875051852,0.991,0.983475,0.995525
ER,active_spreader_auc,100,19784.86,655.2726477034449,19815.0,18563.9,21108.225
ER,unique_exposed_fraction,100,0.9925800000000001,0.001558165199161755,0.993,0.989,0.995
ER,attempted_exposures,100,7431.09,177.52883362337727,7434.5,7100.4,7789.675
ER,repeat_exposures,100,6438.51,177.77653064587813,6441.0,6106.925,6796.625
WS,t10,100,8.16,1.0122482228418408,8.0,6.475,10.0
WS,t50,100,16.03,1.403135018017824,16.0,14.0,19.52499999999999
WS,peak_infected,100,639.25,21.14135924454884,639.0,605.475,679.05
WS,final_size,100,0.9997100000000002,0.000924361641590804,1.0,0.998,1.0
WS,active_spreader_auc,100,20039.24,673.9336076163196,20017.5,18592.725,21167.7
WS,unique_exposed_fraction,100,0.9949799999999999,0.00020000000000000015,0.995,0.995,0.995
WS,attempted_exposures,100,7478.76,182.9647048813602,7480.5,7130.075,7828.15
WS,repeat_exposures,100,6483.78,182.94849857627455,6485.5,6135.075,6833.15
