topology,trial,lambda_max,lambda_c,ratio_beta0.15,ratio_beta0.02
ER,0,7.18599277709987,0.13915961663456902,21.55797833129961,2.874397110839948
ER,1,7.3297443923999905,0.136430405545502,21.98923317719997,2.931897756959996
ER,2,7.244055309188003,0.1380442248600241,21.732165927564004,2.897622123675201
ER,3,7.0317162819687855,0.14221279128742287,21.09514884590635,2.812686512787514
ER,4,6.97517830002668,0.14336551081370566,20.925534900080034,2.7900713200106715
ER,5,6.984336969383906,0.14317751339655233,20.953010908151718,2.7937347877535625
ER,6,7.041532732289245,0.1420145354738547,21.12459819686773,2.8166130929156976
ER,7,7.1453996598837834,0.13995018439826004,21.436198979651344,2.858159863953513
ER,8,7.270094256630274,0.1375497984896148,21.81028276989082,2.908037702652109
ER,9,7.259247091444261,0.13775533294335698,21.77774127433278,2.9036988365777043
ER,10,7.038507602412674,0.14207557290372436,21.11552280723802,2.8154030409650694
ER,11,7.18243352367898,0.13922857715330178,21.547300571036935,2.8729734094715917
ER,12,7.2230188578322405,0.13844626736861632,21.669056573496718,2.889207543132896
ER,13,7.115767082082774,0.1405329866006943,21.347301246248318,2.8463068328331094
ER,14,7.125023042120242,0.14035042330226952,21.37506912636072,2.8500092168480964
ER,15,6.973115871937981,0.1434079138171668,20.91934761581394,2.789246348775192
ER,16,7.367359526159932,0.13573384011588033,22.10207857847979,2.9469438104639725
ER,17,7.23366225171366,0.13824256167933457,21.70098675514098,2.8934649006854642
ER,18,7.21779422963811,0.13854648223327623,21.653382688914323,2.8871176918552433
ER,19,7.249348295108575,0.13794343426356545,21.748044885325722,2.8997393180434297
WS,0,6.14094443542238,0.16284140176090342,18.422833306267137,2.456377774168952
WS,1,6.1649668079721724,0.16220687493513491,18.494900423916512,2.4659867231888684
WS,2,6.149024436066786,0.16262742332499958,18.447073308200356,2.4596097744267142
WS,3,6.1557599334790964,0.16244947996775153,18.46727980043729,2.4623039733916383
WS,4,6.142324225102084,0.16280482165256918,18.42697267530625,2.4569296900408335
WS,5,6.137792560744921,0.16292502395659877,18.41337768223476,2.455117024297968
WS,6,6.155301426340478,0.16246158079613848,18.46590427902143,2.462120570536191
WS,7,6.157600326344493,0.16240092682235804,18.472800979033476,2.463040130537797
WS,8,6.16201330831365,0.16228462191907675,18.486039924940947,2.46480532332546
WS,9,6.152299854218132,0.16254084223713205,18.456899562654396,2.4609199416872527
WS,10,6.164341272683251,0.16222333510823192,18.493023818049753,2.4657365090733006
WS,11,6.147229975718013,0.1626748964899751,18.441689927154037,2.458891990287205
WS,12,6.156365771438952,0.16243349357818712,18.46909731431685,2.4625463085755808
WS,13,6.143499567045154,0.16277367469254517,18.43049870113546,2.4573998268180612
WS,14,6.151102698162553,0.1625724766875894,18.45330809448766,2.460441079265021
WS,15,6.157155261438568,0.16241266583983435,18.4714657843157,2.462862104575427
WS,16,6.1382952036012055,0.16291168261398076,18.414885610803616,2.455318081440482
WS,17,6.154421249403515,0.16248481530199443,18.463263748210544,2.4617684997614058
WS,18,6.171876087650741,0.162025287902473,18.51562826295222,2.4687504350602962
WS,19,6.150941773398046,0.16257673000984316,18.452825320194137,2.460376709359218
BA,0,13.120602649262889,0.07621601131684143,39.36180794778866,5.248241059705156
BA,1,14.745449018120405,0.06781753466924735,44.23634705436121,5.898179607248162
BA,2,13.35109075575982,0.0749002473500967,40.05327226727945,5.340436302303927
BA,3,14.382892047030872,0.06952704621087903,43.148676141092615,5.753156818812348
BA,4,13.704292013759087,0.07296984032418469,41.112876041277254,5.481716805503634
BA,5,13.976216646681753,0.07155012155864234,41.928649940045254,5.590486658672701
BA,6,13.955711932338083,0.07165524803380376,41.86713579701424,5.582284772935233
BA,7,15.212756217784344,0.06573430781931275,45.63826865335302,6.085102487113737
BA,8,13.828602829118115,0.07231388538358742,41.48580848735433,5.531441131647245
BA,9,13.126417850279397,0.07618224647470863,39.379253550838186,5.250567140111758
BA,10,13.27968327990722,0.07530300075100788,39.839049839721646,5.311873311962887
BA,11,13.5282380812159,0.07391945602942267,40.584714243647696,5.41129523248636
BA,12,15.044958625755985,0.06646744765971409,45.13487587726795,6.017983450302394
BA,13,13.979610489254318,0.07153275127147986,41.93883146776295,5.591844195701727
BA,14,14.38002163640602,0.06954092457470938,43.140064909218054,5.752008654562408
BA,15,13.639831689234466,0.07331468765771294,40.919495067703394,5.455932675693786
BA,16,13.370819346299784,0.07478973233429694,40.11245803889935,5.348327738519913
BA,17,13.650191701819441,0.07325904440350896,40.95057510545832,5.460076680727776
BA,18,13.414975526731277,0.07454355753444018,40.24492658019383,5.365990210692511
BA,19,14.402714697751186,0.06943135519834592,43.20814409325355,5.761085879100474
