beta,topology,metric,best_strategy,best_mean,random_mean
0.01,BA,final_size,kcore,0.01315,0.1795
0.01,BA,active_spreader_auc,kcore,251.9,3564.85
0.01,BA,unique_exposed_fraction,collective_influence,0.049,0.57725
0.01,BA,attempted_exposures,kcore,765.15,17561.7
0.01,BA,reached_50,betweenness,0.0,0.0
0.01,ER,final_size,community_bridge,0.0249,0.056100000000000004
0.01,ER,active_spreader_auc,community_bridge,504.4,1180.85
0.01,ER,unique_exposed_fraction,community_bridge,0.11305000000000001,0.2448
0.01,ER,attempted_exposures,community_bridge,2135.2,5214.1
0.01,ER,reached_50,betweenness,0.0,0.0
0.01,WS,final_size,degree,0.0172,0.0235
0.01,WS,active_spreader_auc,degree,322.2,499.1
0.01,WS,unique_exposed_fraction,community_bridge,0.0514,0.06905
0.01,WS,attempted_exposures,degree,1121.1,1812.6
0.01,WS,reached_50,betweenness,0.0,0.0
0.02,BA,final_size,kcore,0.081,0.5256000000000001
0.02,BA,active_spreader_auc,collective_influence,1560.5,10488.45
0.02,BA,unique_exposed_fraction,kcore,0.22185000000000002,0.8052999999999999
0.02,BA,attempted_exposures,collective_influence,3732.75,26115.6
0.02,BA,reached_50,betweenness,0.0,0.85
0.02,ER,final_size,betweenness,0.4671,0.5195000000000001
0.02,ER,active_spreader_auc,betweenness,9158.2,10392.4
0.02,ER,unique_exposed_fraction,random,0.7492500000000001,0.7492500000000001
0.02,ER,attempted_exposures,betweenness,23150.4,25477.2
0.02,ER,reached_50,degree,0.6,0.8
0.02,WS,final_size,collective_influence,0.056299999999999996,0.12465
0.02,WS,active_spreader_auc,collective_influence,1085.8,2457.1
0.02,WS,unique_exposed_fraction,collective_influence,0.11779999999999999,0.26444999999999996
0.02,WS,attempted_exposures,collective_influence,2544.2,6074.7
0.02,WS,reached_50,betweenness,0.0,0.0
0.05,BA,final_size,betweenness,0.68845,0.8661999999999999
0.05,BA,active_spreader_auc,betweenness,13634.35,17430.8
0.05,BA,unique_exposed_fraction,betweenness,0.86765,0.94465
0.05,BA,attempted_exposures,betweenness,13829.0,17697.4
0.05,BA,reached_50,betweenness,0.95,1.0
0.05,ER,final_size,degree,0.8651500000000001,0.8920999999999999
0.05,ER,active_spreader_auc,degree,17249.35,17993.8
0.05,ER,unique_exposed_fraction,betweenness,0.9369,0.9407499999999999
0.05,ER,attempted_exposures,community_bridge,17503.0,18107.95
0.05,ER,reached_50,betweenness,1.0,1.0
0.05,WS,final_size,degree,0.8487,0.8906000000000001
0.05,WS,active_spreader_auc,degree,16780.25,17607.85
0.05,WS,unique_exposed_fraction,degree,0.9131,0.93675
0.05,WS,attempted_exposures,degree,17314.1,18196.1
0.05,WS,reached_50,betweenness,1.0,1.0
0.15,BA,final_size,kcore,0.8894500000000001,0.9410499999999999
0.15,BA,active_spreader_auc,collective_influence,17803.2,18926.4
0.15,BA,unique_exposed_fraction,kcore,0.92515,0.94485
0.15,BA,attempted_exposures,kcore,6135.05,6964.3
0.15,BA,reached_50,betweenness,1.0,1.0
0.15,ER,final_size,betweenness,0.93345,0.9369
0.15,ER,active_spreader_auc,collective_influence,18501.85,18629.7
0.15,ER,unique_exposed_fraction,betweenness,0.9388,0.9416
0.15,ER,attempted_exposures,degree,6750.8,6973.8
0.15,ER,reached_50,betweenness,1.0,1.0
0.15,WS,final_size,kcore,0.9462999999999999,0.9487
0.15,WS,active_spreader_auc,kcore,18926.8,19118.95
0.15,WS,unique_exposed_fraction,kcore,0.9431499999999999,0.9449
0.15,WS,attempted_exposures,community_bridge,6916.25,7028.6
0.15,WS,reached_50,betweenness,1.0,1.0
