topology,n,strategy,mean,std,median
BA,500,betweenness,0.11345848849998669,0.0002669066469115151,0.11345848849998669
BA,500,collective_influence,0.0102913729999727,0.00010152639163244169,0.0102913729999727
BA,500,community_bridge,0.16255243199998398,0.046038005667782905,0.16255243199998398
BA,500,degree,0.0007117994999816,0.0002463128691109963,0.0007117994999816
BA,500,eigenvector,0.036377891499967,0.0002828151352896464,0.036377891499967
BA,500,kcore,0.00197539549998275,7.114272035736331e-05,0.00197539549998275
BA,500,pagerank,0.3050304755000184,0.0015839156543014062,0.3050304755000184
BA,1000,betweenness,0.18185546800003743,0.0007227550542711011,0.18185546800003743
BA,1000,collective_influence,0.02149547099998015,0.0014919868230429615,0.02149547099998015
BA,1000,community_bridge,0.4769095695000374,0.026267379968827068,0.4769095695000374
BA,1000,degree,0.0012766380000357,0.00018882013800130147,0.0012766380000357
BA,1000,eigenvector,0.0338993834999996,0.013587418132043762,0.0338993834999996
BA,1000,kcore,0.0029360324999742502,7.897463496014386e-05,0.0029360324999742502
BA,1000,pagerank,0.2527938034999692,0.02664945097601096,0.2527938034999692
BA,2000,betweenness,0.35924812150000207,0.024411322248985054,0.35924812150000207
BA,2000,collective_influence,0.0529841730000271,0.0012660308510542007,0.0529841730000271
BA,2000,community_bridge,1.3977439125000046,0.036802158022474656,1.3977439125000046
BA,2000,degree,0.00179560899999835,0.0002505731873503361,0.00179560899999835
BA,2000,eigenvector,0.0551700524999887,1.573948979575803e-05,0.0551700524999887
BA,2000,kcore,0.00550840650004145,0.000128873746343848,0.00550840650004145
BA,2000,pagerank,0.011037293500009999,0.0007222735145007201,0.011037293500009999
WS,500,betweenness,0.08448887499997675,0.009793344066666676,0.08448887499997675
WS,500,collective_influence,0.0038021159999742996,0.00018858679265885774,0.0038021159999742996
WS,500,community_bridge,0.0817489125000179,0.002843295459049471,0.0817489125000179
WS,500,degree,0.00040857049998515,8.388337025437429e-05,0.00040857049998515
WS,500,eigenvector,0.09236286949999335,0.01555115548685032,0.09236286949999335
WS,500,kcore,0.0012533280000184,1.7548976125610604e-05,0.0012533280000184
WS,500,pagerank,0.00321776650002895,0.0006120454667974317,0.00321776650002895
WS,1000,betweenness,0.16768041450001192,0.007624110874697798,0.16768041450001192
WS,1000,collective_influence,0.00986290499997715,0.0036074070675844597,0.00986290499997715
WS,1000,community_bridge,0.2552033129999813,0.01095132758734037,0.2552033129999813
WS,1000,degree,0.0006505400000378,7.962729453042215e-05,0.0006505400000378
WS,1000,eigenvector,0.26752035949999703,0.08304457836117017,0.26752035949999703
WS,1000,kcore,0.00278814949996325,0.00026550798977859026,0.00278814949996325
WS,1000,pagerank,0.0061196119999067,0.0009803314272393067,0.0061196119999067
WS,2000,betweenness,0.3512757005000253,0.024019085874818415,0.3512757005000253
WS,2000,collective_influence,0.0157318500000087,0.0007969857100039946,0.0157318500000087
WS,2000,community_bridge,0.7660808730000213,0.052514102520192826,0.7660808730000213
WS,2000,degree,0.0016563899999937001,0.0004442299357935727,0.0016563899999937001
WS,2000,eigenvector,0.4809371865000003,0.07179411207852998,0.4809371865000003
WS,2000,kcore,0.0049875269999688,0.0002797215432000201,0.0049875269999688
WS,2000,pagerank,0.0108622750000222,0.001872772310027442,0.0108622750000222
