topology,fraction,metric,best_strategy,best_mean
BA,0.01,active_spreader_auc,degree,19422.83
BA,0.01,final_size,degree,0.9738499999999999
BA,0.01,unique_exposed_fraction,collective_influence,0.98419
BA,0.01,attempted_exposures,eigenvector,7015.52
BA,0.01,peak_infected,pagerank,678.74
BA,0.01,reached_50,betweenness,1.0
BA,0.05,active_spreader_auc,pagerank,17692.05
BA,0.05,final_size,degree,0.8863
BA,0.05,unique_exposed_fraction,degree,0.9244
BA,0.05,attempted_exposures,kcore,6149.1
BA,0.05,peak_infected,degree,529.24
BA,0.05,reached_50,betweenness,1.0
BA,0.1,active_spreader_auc,pagerank,15013.99
BA,0.1,final_size,pagerank,0.75223
BA,0.1,unique_exposed_fraction,pagerank,0.8157899999999999
BA,0.1,attempted_exposures,pagerank,5078.77
BA,0.1,peak_infected,pagerank,363.07
BA,0.1,reached_50,betweenness,1.0
ER,0.01,active_spreader_auc,pagerank,19534.84
ER,0.01,final_size,betweenness,0.9787699999999999
ER,0.01,unique_exposed_fraction,betweenness,0.98161
ER,0.01,attempted_exposures,eigenvector,7270.89
ER,0.01,peak_infected,degree,708.44
ER,0.01,reached_50,betweenness,1.0
ER,0.05,active_spreader_auc,betweenness,18614.39
ER,0.05,final_size,pagerank,0.9333400000000001
ER,0.05,unique_exposed_fraction,betweenness,0.93934
ER,0.05,attempted_exposures,kcore,6788.13
ER,0.05,peak_infected,pagerank,652.04
ER,0.05,reached_50,betweenness,1.0
ER,0.1,active_spreader_auc,betweenness,17454.34
ER,0.1,final_size,pagerank,0.87386
ER,0.1,unique_exposed_fraction,pagerank,0.88469
ER,0.1,attempted_exposures,pagerank,6234.77
ER,0.1,peak_infected,pagerank,578.75
ER,0.1,reached_50,betweenness,1.0
WS,0.01,active_spreader_auc,betweenness,19681.4
WS,0.01,final_size,betweenness,0.9895499999999999
WS,0.01,unique_exposed_fraction,eigenvector,0.98496
WS,0.01,attempted_exposures,pagerank,7351.85
WS,0.01,peak_infected,degree,614.54
WS,0.01,reached_50,betweenness,1.0
WS,0.05,active_spreader_auc,degree,18940.27
WS,0.05,final_size,kcore,0.94621
WS,0.05,unique_exposed_fraction,kcore,0.9433399999999998
WS,0.05,attempted_exposures,kcore,6971.15
WS,0.05,peak_infected,collective_influence,538.99
WS,0.05,reached_50,betweenness,1.0
WS,0.1,active_spreader_auc,kcore,17644.79
WS,0.1,final_size,kcore,0.88291
WS,0.1,unique_exposed_fraction,kcore,0.88515
WS,0.1,attempted_exposures,kcore,6429.53
WS,0.1,peak_infected,collective_influence,443.65
WS,0.1,reached_50,betweenness,1.0
